,skill,cluster
1075,cure composite workpiece,9
1076,participate in school programs on libraries,8
1077,conserve water resource,1
1078,manage the customer experience,16
1079,perform church service,4
1080,oversee stock quality control,1
1081,technical terminology,20
1082,prepare desserts,15
1083,adapt fitness exercises,0
1084,dairy manufacturing specifications,21
1085,perform screening for infectious diseases,12
1086,operate cutting equipment,24
1087,apply immigration law,5
1088,advise on construction materials,7
1089,medical parasitology,10
1090,coordinate membership work,0
1091,monitor own performance as a sports official,0
1092,counsel patients on improving speech,23
1093,inflate sport balls,11
1094,work independently in rental services,3
1095,immunotherapy,5
1096,identify energy needs,17
1097,apply development process to footwear design,3
1098,apply conceptual thinking,3
1099,investigate soil stability,10
1100,report analysis results,8
1101,evaluate vehicle ecological footprint,10
1102,assess hydrogenation levels of edible oils,9
1103,dermatology,3
1104,position patients undergoing interventions,4
1105,comply with legal requirements for diving operations,1
1106,metal polishing machine parts,24
1107,use foreign languages in patient care,18
1108,weld in hyperbaric conditions,2
1109,manage carbonation levels,21
1110,carry out chimney pressure testing,2
1111,urban planning law,2
1112,answer requests for quotation,13
1113,help document artistic work at all stages,7
1114,monitor workload,8
1115,take room service orders,1
1116,WizIQ,2
1117,support informed consent,14
1118,conduct contact tracing interviews,13
1119,create floor plan template,7
1120,execute sports training programme,0
1121,inspect building systems,7
1122,urban planning,2
1123,manage backlogs,8
1124,blockchain concept application,17
1125,process harvested honey,9
1126,clean contaminants from airport runways,14
1127,identify characteristics of music,23
1128,vacuum distillation processes,9
1129,interpret prescriptions,1
1130,create electrical wiring diagram,6
1131,CAM software,7
1132,shape organisational teams based on competencies,3
1133,air traffic control operations,14
1134,protect plants during pest control,10
1135,conduct metallurgical structural analysis,24
1136,support other national representatives,5
1137,bathe dogs,1
1138,mechanical almond processing,15
1139,sociocultural contexts in which animals are kept,0
1140,process timber using hand-fed machinery,6
1141,disseminate messages to people,0
1142,advise on maritime regulations,3
1143,treat vehicle fabrics,11
1144,mix terrazzo material,11
1145,collect mail,4
1146,move treated wood,6
1147,respond to healthcare users' extreme emotions,12
1148,perform mathematical calculations in pest management,2
1149,surveying,2
1150,operate mechanical equipment of ships,3
1151,ICT power consumption,5
1152,study prices of wood products,6
1153,keep signs legible,1
1154,hammer cotton and oakum into seams,11
1155,electricity,17
1156,install car electronics,14
1157,handle animals for semen collection,13
1158,analyse telescope images,4
1159,ICT hardware specifications,5
1160,install metal gas piping,2
1161,types of moulding,21
1162,electrical engineering,17
1163,maintain animal accommodation hygienic,0
1164,ensure rail tracks remain clear,14
1165,provide escort services,0
1166,organise travel arrangements for staff,3
1167,milk production process,21
1168,coordinate technical standards for global interoperability,3
1169,feed pulp mixing vat,9
1170,convert textile fibres into sliver,11
1171,create pen-and-paper images,7
1172,operate forklift,6
1173,oversee promotional sales prices,16
1174,assist in performing physical exercises,0
1175,handle shipment paperwork,14
1176,operation of transport equipment,14
1177,perform venepuncture procedures,12
1178,plot shipping navigation routes,14
1179,prepare main engines for navigation operations,0
1180,types of cartridges,2
1181,plan digital marketing,4
1182,write routine reports,8
1183,adhesives,24
1184,handle case evidence,20
1185,financial forecasting,2
1186,SA8000,13
1187,ensure quality assurance standards for vehicles,2
1188,assist in developing marketing campaigns,13
1189,find your place within the architecture of the production,6
1190,customise project methodologies,13
1191,perform market research in footwear,3
1192,lead claim examiners,2
1193,operate rust proofing spray gun,24
1194,philosophical schools of thought,4
1195,perform body piercings,2
1196,Steiner principles,13
1197,perform ocular tonometry,7
1198,check durability of wood materials,24
1199,apply territory planning,2
1200,diagnose problems of the visual system,7
1201,"maxillo-facial, oral, and dental surgery",12
1202,venereology,4
1203,inspect government policy compliance,1
1204,maintain desalination control system,1
1205,observe new developments in foreign countries,3
1206,production engineering,6
1207,perform electrical geophysical measurements,2
1208,maintain facility security systems,1
1209,arrange printer sheets,11
1210,understand written Dutch,18
1211,marketing department processes,1
1212,interact verbally in French,18
1213,follow up orders for customers,16
1214,adapt hearing tests,23
1215,speak in public,5
1216,handle cybersecurity incidents,1
1217,implement training programmes for animals,0
1218,research locations for wind farms,19
1219,analyse images,7
1220,polish wafers,9
1221,handle delivery of raw materials,24
1222,create weather maps,21
1223,update message displays,17
1224,receive appropriate permissions for use of recorded audiovisual examples,23
1225,enzymatic processing,5
1226,manufacture dental instruments,20
1227,conduct radiotherapy computer planning,20
1228,lead research activities in nursing,2
1229,develop flood remediation strategies,2
1230,protein,5
1231,prevent work accidents,0
1232,footwear finishing techniques,3
1233,manufacture fur products,11
1234,manage periodic calibration plans,6
1235,develop models for weather forecast,21
1236,provide information on train routes,14
1237,supervise mine construction operations,2
1238,practice dance moves,23
1239,keep competences about irrigation systems up-to-date,1
1240,radiochemistry,20
1241,monitor coke quenching,2
1242,pathology,4
1243,processes performed by tumbling,11
1244,immunohaematology,5
1245,ensure compliance with policies,1
1246,order customisation of orthopedic products for customers,6
1247,adapt text culturally,18
1248,handle chemicals,1
1249,manage publicly traded companies,4
1250,tend vines,22
1251,monitor service users' health,12
1252,design dolls,7
1253,district heating and cooling,21
1254,limit load to prevent damage,14
1255,evaluate older adults' ability to take care of themselves,12
1256,web based collaborative platforms,17
1257,assemble windows,7
1258,sell art,7
1259,identify new business opportunities,3
1260,pre-flight procedures for IFR flights,14
1261,recommend telecommunication equipment to customers,5
1262,manage communications with food industry governmental bodies,15
1263,provide nursing advice on healthcare,12
1264,ICT system user requirements,5
1265,reverse engineering,17
1266,manage sport competition programmes,0
1267,advocate for healthcare users' needs,12
1268,follow signalling instructions,17
1269,environmental legislation in agriculture and forestry,10
1270,select unshelled almonds,15
1271,evaluate animal pregnancy,0
1272,monitor vehicle maintenance activities,14
1273,maintain refuse collection equipment,10
1274,handover the service area,1
1275,operate radio equipment,20
1276,prescribe corrective lenses,7
1277,monitor programming finances,8
1278,herbicides sprayers,10
1279,work out odds,5
1280,work to develop physical ability to perform at the highest level in sport,0
1281,monitor billing procedures,8
1282,conduct airport security screening,1
1283,teach tourism principles,3
1284,understand written Italian,18
1285,design wayside signalling interlockings,2
1286,advise customers on clocks,6
1287,support individuals to adjust to physical disability,12
